date,plate.SN,well,treatment,dose,units,meanfiringrate_AUC,burst.per.min_AUC,mean.isis_AUC,per.spikes.in.burst_AUC,mean.dur_AUC,mean.IBIs_AUC,nAE_AUC,nABE_AUC,ns.n_AUC,ns.peak.m_AUC,ns.durn.m_AUC,ns.percent.of.spikes.in.ns_AUC,ns.mean.insis_AUC,ns.durn.sd_AUC,ns.mean.spikes.in.ns_AUC,r_AUC,mi_AUC,cv.time_AUC,cv.network_AUC
20151014,MW1076-44,F7,Sorbitol,0.3,uM,6.611,12.429,0.54,229.323,3.54,188.023,67.5,56,291.5,62.643,0.744,56.583,147.903,0.213,217.06,0.882,0.023,4.493,16.032
20150128,MW1007-109,F4,Spiroxamine,0.3,uM,3.031,8.174,0.363,521.018,3.442,360.182,40.5,33.5,87.5,40.727,1.041,33.545,218.707,0.274,64.8,0.487,0.002,8.587,14.022
20150128,MW1008-1,F4,Spiroxamine,0.3,uM,1.237,0.15,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0.038,0,14.007,15.751
20150128,MW1008-40,F4,Spiroxamine,0.3,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141015,MW1007-107,D4,t-retinoic acid,0.3,uM,12.341,19.937,0.35,500.962,5.129,278.351,102,97,175,90.893,1.424,85.197,195.977,0.336,633.587,2.009,0.075,5.399,17.747
20141015,MW1007-108,D4,t-retinoic acid,0.3,uM,9.078,16.891,0.453,511.922,5.07,355.705,111,103.5,248.5,79.76,1.3,85.869,215.703,0.538,426.799,2.059,0.068,5.078,13.381
20141015,MW1008-39,D4,t-retinoic acid,0.3,uM,12.079,24.529,0.323,541.905,4.475,216.519,103.5,101,405,78.708,1.377,81.522,123.783,0.713,361.064,2.192,0.098,4.695,18.37
20150128,MW1008-37,D4,TCEP,0.3,uM,13.892,26.594,0.212,642.441,4.321,224.908,125,120,417.5,113.776,2.49,104.012,231.908,0.846,525.155,2.931,0.111,3.215,18.363
20150128,MW1008-41,D4,TCEP,0.3,uM,6.989,27.26,0.303,416.225,2.11,88.707,58,39,737.5,36.199,0.563,84.217,51.911,0.262,97.903,0.453,0.02,5.607,12.342
20150128,MW1008-42,D4,TCEP,0.3,uM,21.605,46.668,0.266,631.116,3.7,155.726,108.5,94.5,1063.5,94.063,1.87,144.313,144.922,0.751,377.019,2.499,0.144,3.168,18.41
20150128,MW1008-37,E4,TDCPP,0.3,uM,14.59,43.623,0.426,619.644,4.684,193.498,86.5,74.5,1104.5,60.633,1.001,167.466,51.933,0.44,213.237,1.341,0.082,6.052,15.968
20150128,MW1008-41,E4,TDCPP,0.3,uM,7.433,21.917,0.397,356.187,3.503,55.964,52.5,29,552,15.008,0.15,45.133,3.627,0.064,29.193,0.282,0.009,4.609,11.979
20150128,MW1008-42,E4,TDCPP,0.3,uM,9.489,30.376,0.352,347.243,3.136,106.976,87.5,73.5,379.5,64.255,1.371,36.986,98.632,0.39,126.088,0.415,0.015,2.201,13.454
20151125,MW1086-39,F5,TDCPP,0.3,uM,8.907,19.111,0.264,517.006,4.23,271.923,81.5,74,282,90.377,1.628,99.58,540.092,0.496,319.002,1.335,0.038,5.335,18.5
20151125,MW1086-41,F6,TDCPP,0.3,uM,15.892,25.549,0.355,492.919,5.309,221.683,106.5,101.5,351.5,110.351,2.026,77.612,319.87,0.68,419.773,1.641,0.046,4.429,17.19
20150805,MW1040-11,E6,Tebuconazole,0.3,uM,544.961,16.13,0.217,621.972,3.447,353.219,111.5,109,234.5,125.368,1.574,147.091,357.141,0.367,686.32,3.223,0.08,4.149,23.05
20150805,MW1040-12,E7,Tebuconazole,0.3,uM,392.493,16.047,0.159,678.588,2.168,357.511,105.5,100,293,112.78,1.513,176.622,297.54,0.433,485.192,2.886,0.07,4.793,21.216
20141015,MW1007-107,B4,Terbutaline,0.3,uM,11.722,21.089,0.467,523.313,4.748,198.163,118.5,101.5,257,89.235,1.727,102.119,129.73,0.488,518.655,2.26,0.088,3.689,15.439
20141015,MW1007-108,B4,Terbutaline,0.3,uM,8.445,18.138,0.171,469.493,2.679,159.731,105.5,86,278.5,83.522,1.302,98.37,152.653,0.363,353.733,1.884,0.057,5.37,12.299
20141015,MW1008-39,B4,Terbutaline,0.3,uM,10.27,20.161,0.16,455.618,3.287,145.128,101.5,91.5,440,80.072,1.597,95.237,123.381,0.784,308.222,1.92,0.078,4.985,18.007
20151125,MW1086-39,A5,Tetrabromobisphenol A,0.3,uM,13.612,33.647,0.268,635.781,3.978,235.781,123.5,121,441,110.567,2.418,101.005,261.106,0.781,450.065,2.075,0.074,3.208,18.089
20151125,MW1086-41,A6,Tetrabromobisphenol A,0.3,uM,9.71,27.941,0.347,579.01,3.057,266.912,98,93.5,466,102.187,1.691,112.86,287.515,0.549,301,1.7,0.046,3.194,18.461
20141203,MW1042-42,F4,Tetrabromobisphenol A,0.3,uM,13.763,28.478,0.31,547.85,4.172,227.383,126,118.5,740,106.487,1.779,106.863,241.616,0.625,379.298,1.869,0.071,3.285,16.191
20141203,MW1042-43,F4,Tetrabromobisphenol A,0.3,uM,12.338,27.735,0.294,601.994,4.159,240.466,124,119,648,114.938,1.806,130.947,248.1,0.656,436.087,2.233,0.081,3.261,15.919
20141203,MW1042-44,F4,Tetrabromobisphenol A,0.3,uM,9.237,24.12,0.303,584.319,3.765,297.982,121,117,536,111.944,1.573,140.287,290.327,0.536,405.642,2.134,0.061,3.688,12.513
20150805,MW1040-11,F6,Thalidomide,0.3,uM,794.541,30.501,0.234,613.174,3.908,289.613,121,118.5,925.5,114.942,1.568,157.224,271.561,0.71,471.88,2.725,0.12,3.864,20.335
20150805,MW1040-12,F7,Thalidomide,0.3,uM,174.362,8.956,0.267,382.457,2.395,260.41,63,53,296,46.225,0.908,107.18,170.656,0.377,102.26,0.797,0.019,4.457,13.922
20141015,MW1007-107,C4,Thiouracil,0.3,uM,14.236,32.965,0.401,555.664,10.96,145.832,102,89,407,81.462,1.264,111.646,89.306,0.349,410.239,1.87,0.088,5.751,16.315
20141015,MW1007-108,C4,Thiouracil,0.3,uM,11.188,15.598,0.442,561.897,19.297,282.188,100.5,89.5,174,83.658,1.222,92.839,214.17,0.322,392.985,1.894,0.047,4.573,13.793
20141015,MW1008-39,C4,Thiouracil,0.3,uM,9.345,15.769,0.222,463.791,4.499,160.767,92,85.5,313.5,78.392,1.458,84.393,141.211,0.61,304.763,1.626,0.057,6.776,16.929
20151125,MW1086-39,E5,TPP,0.3,uM,6.104,14.766,0.316,509.966,2.962,445.071,74,65,217,68.373,1.711,87.149,158.996,0.504,209.403,1.233,0.028,7.433,21.114
20151125,MW1086-41,E6,TPP,0.3,uM,5.97,16.366,0.254,568.306,2.613,360.69,102.5,90,273,109.929,1.686,141.451,503.173,0.448,413.577,2.074,0.041,4.529,22.625
20150128,MW1008-37,F4,TPP,0.3,uM,13.191,32.862,0.317,645.469,4.449,188.528,126,121,606.5,114.217,2.029,143.656,188.761,0.689,419.124,2.683,0.098,2.702,18.402
20150128,MW1008-41,F4,TPP,0.3,uM,3.1,3.29,0.089,72.441,1.781,28.795,22.5,6,58.5,13,0.143,7.557,31.889,0.033,26.308,0.102,0.001,3.024,6.724
20150128,MW1008-42,F4,TPP,0.3,uM,20.932,41.083,0.309,588.381,4.399,201.897,116.5,107,759.5,98.111,2.089,103.107,221.364,0.866,405.999,2.158,0.15,3.579,19.431
20160601,MW1062-29,F6,Triethyltin bromide,0.3,uM,27.777,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,-0.001,0,2.096,3.748
20160601,MW1062-43,F7,Triethyltin bromide,0.3,uM,541.661,26.37,0.339,104.282,2.942,6.122,16,2,0,0,0,0,0,0,0,0.007,0,5.801,9.301
20160601,MW1062-44,F8,Triethyltin bromide,0.3,uM,703.091,26.28,0.293,130.176,4.816,4.296,2,2,0,0,0,0,0,0,0,0,0,0.12,1.398
20141015,MW1007-107,E5,Trimethyltin,0.3,uM,17.112,15.557,0.415,214.076,3.408,37.987,30.5,9,0,0,0,0,0,0,0,0.003,0,9.727,13.78
20141015,MW1007-108,E5,Trimethyltin,0.3,uM,9.403,17.017,0.628,295.263,10.486,10.471,26,4.5,0,0,0,0,0,0,0,-0.004,0,7.251,10.072
20141015,MW1008-39,E5,Trimethyltin,0.3,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141015,MW1007-107,F4,Valproic acid,0.3,uM,18.68,36.41,0.265,624.086,3.541,112.571,109.5,94.5,534.5,87.552,1.725,115.91,66.029,0.638,484.286,1.954,0.108,5.32,16.605
20141015,MW1007-108,F4,Valproic acid,0.3,uM,13.783,26.172,0.52,479.294,5.424,176.212,104.5,93,671.5,71.246,1.326,87.155,104.621,0.686,251.052,1.364,0.067,3.724,13.342
20141015,MW1008-39,F4,Valproic acid,0.3,uM,14.56,21.385,0.513,481.524,5.157,283.88,96.5,89.5,334,72.195,1.379,89.5,128.946,0.688,383.437,1.953,0.085,4.573,18.943
20150128,MW1008-37,C5,1-2-PropyleneGlycol,1,uM,15.199,30.704,0.283,633.214,4.711,196.765,126,126,411,119.395,2.918,96.26,222.749,0.844,557.379,2.492,0.101,3.122,17.495
20150128,MW1008-41,C5,1-2-PropyleneGlycol,1,uM,9.15,27.873,0.18,322.288,2.229,37.996,56,44,754.5,38.703,0.918,63.001,29.047,0.25,92.414,0.553,0.026,4.717,16.233
20150128,MW1008-42,C5,1-2-PropyleneGlycol,1,uM,22.695,53.334,0.31,658.63,4.45,76.141,107,91,1147,91.418,1.651,145.306,224.93,0.682,391.006,1.871,0.13,3.784,20.962
20140910,MW1008-39,A5,5-Fluorouracil,1,uM,8.56,17.818,0.371,368.747,5.848,198.992,54,49.5,235.5,39.581,0.657,44.388,132.005,0.21,108.138,0.529,0.013,5.542,6.15
20140910,MW1008-40,A5,5-Fluorouracil,1,uM,9.773,19.351,0.611,375.677,5.945,209.713,103,80,210.5,69.437,1.111,38.99,639.155,0.376,203.411,0.721,0.019,5.864,11.651
20140910,MW1008-68,A5,5-Fluorouracil,1,uM,5.224,11.477,0.418,294.231,3.883,221.447,93.5,58,124,42.469,0.893,14.488,127.716,0.303,71.631,0.228,0.003,6.866,9.949
20141112,MW 1041-25,A5,Acetaminophen,1,uM,13.927,34.428,0.233,623.54,3.321,211.328,126,123.5,1013.5,119.367,1.376,198.018,159.948,0.656,449.115,3.108,0.134,3.513,18.821
20141112,MW 1041-28,A5,Acetaminophen,1,uM,11.349,31.384,0.271,601.876,2.927,220.212,126,114,813,119.075,1.386,182.739,199.737,0.454,439.531,2.94,0.111,3.156,15.471
20140827,MW1007-100,A5,Acetaminophen,1,uM,10.554,25.471,0.401,531.932,4.161,264.119,111,99,1325.5,88.435,1.177,141.938,170.215,0.345,217.916,1.597,0.056,3.622,14.423
20140827,MW1007-91,A5,Acetaminophen,1,uM,10.652,27.007,0.433,488.195,4.158,292.659,106,90.5,763,77.665,0.975,122.083,79.959,0.436,266.085,1.997,0.091,4.431,8.675
20140827,MW1007-98,A5,Acetaminophen,1,uM,11.352,29.25,0.235,386.509,3.182,129.615,104,86,1222.5,67.865,1.028,125.712,93.639,0.417,195.714,1.505,0.067,5.129,9.882
20141112,MW1041-17,A5,Acetaminophen,1,uM,8.264,20.56,0.237,646.446,3.232,327.019,123.5,116.5,699,107.892,1.426,170.62,227.936,0.529,416.353,2.646,0.067,3.923,12.282
20141203,MW1042-42,A5,Acetaminophen,1,uM,14.978,32.254,0.283,626.434,4.661,228.838,133.5,131,661.5,120.166,1.757,134.949,265.502,0.748,566.086,2.709,0.125,2.724,15.916
20141203,MW1042-43,A5,Acetaminophen,1,uM,15.324,36.359,0.302,574.597,4.169,201.018,126,121,976,119.767,1.654,152.09,244.095,0.584,480.777,2.615,0.116,2.772,11.498
20141203,MW1042-44,A5,Acetaminophen,1,uM,16.306,36.201,0.233,617.945,3.877,257.167,128.5,123.5,884.5,122.432,1.646,155.28,279.164,0.562,566.663,2.832,0.137,3.022,16.859
20150819,MW1044-2,B6,Acetaminophen,1,uM,14.451,30.052,0.239,613.637,4.71,250.489,133.5,133.5,830.5,115.734,1.477,144.619,207.927,0.72,501.647,2.796,0.106,2.685,22.919
20150819,MW1044-6,B7,Acetaminophen,1,uM,17.666,40.563,0.252,633.36,4.186,196.228,125,117.5,1013.5,105.552,1.47,177.006,196.311,0.763,467.235,2.388,0.129,2.225,9.858
20150819,MW1044-7,B8,Acetaminophen,1,uM,18.203,35.648,0.244,646.062,4.626,189.599,133.5,131,1073.5,122.883,1.707,158.596,186.325,0.965,542.521,2.934,0.143,3.462,19.433
20150805,MW1040-11,C7,Acetaminophen,1,uM,394.104,18.62,0.336,604.261,5.188,304.515,95.5,87.5,536.5,85.539,1.288,162.279,269.762,0.481,251.177,1.769,0.044,4.532,25.353
20150805,MW1040-12,C8,Acetaminophen,1,uM,548.611,23.545,0.301,592.702,3.671,333.025,97,93.5,637.5,89.285,1.4,163.652,239.711,0.691,305.506,1.978,0.069,4.393,17.148
20150128,MW1008-37,A5,Acetamiprid,1,uM,26.611,52.121,0.236,698.525,4.928,116.373,136,136,1140.5,121.594,2.36,123.385,129.168,1.015,558.262,3.004,0.191,2.209,18.429
20150128,MW1008-41,A5,Acetamiprid,1,uM,22.252,61.977,0.239,425.208,2.84,56.087,90.5,73,1210.5,72.65,1.451,100.512,75.36,0.438,254.552,1.316,0.108,5.084,19.297
20150128,MW1008-42,A5,Acetamiprid,1,uM,27.174,67.422,0.327,574.59,4.073,131.632,113.5,99,1518,106.936,1.492,183.283,137.494,0.549,551.254,2.548,0.196,4.025,17.827
20150401,MW1053-26,A5,Acrylamide,1,uM,12.969,25.428,0.479,493.759,5.23,204.432,102,94.5,669.5,81.08,1.27,96.505,79.102,0.649,279.762,1.706,0.078,4.893,20.758
20150401,MW1053-31,A5,Acrylamide,1,uM,6.483,16.038,0.245,354.825,2.412,211.783,84.5,68.5,466,54.589,0.989,97.503,149.731,0.434,138.276,0.877,0.024,6.549,19.31
20150401,MW1053-33,A5,Acrylamide,1,uM,9.675,21.367,0.447,464.95,4.202,262.345,109.5,95,760,80.877,1.06,127.352,94.743,0.453,297.25,1.843,0.063,5.231,24.183
20150128,MW1007-109,A5,Aldicarb,1,uM,20.388,41.136,0.234,665.115,4.384,129.597,136,131,576,123.12,2.659,130.074,131.486,0.805,635.232,2.982,0.164,2.458,22.141
20150128,MW1008-1,A5,Aldicarb,1,uM,12.334,32.195,0.226,651.76,2.998,203.871,121.5,114,631.5,116.02,1.741,171.399,192.154,0.516,520.199,2.71,0.111,2.514,16.06
20150128,MW1008-40,A5,Aldicarb,1,uM,16.229,36.863,0.241,597.993,2.794,178.471,105.5,101,701,97.68,1.761,164.34,188.893,0.508,523.367,2.486,0.145,4.055,15.195
20150819,MW1044-2,C6,Aminonicotinamide,1,uM,12.214,24.502,0.179,608.695,3.237,271.008,133.5,131,412,122.276,1.882,141.266,282.604,0.587,743.35,2.996,0.106,3.237,23.953
20150819,MW1044-6,C7,Aminonicotinamide,1,uM,12.893,30.502,0.289,587.503,4.424,221.612,129,126.5,530,112.661,1.815,131.015,248.317,0.574,593.403,2.066,0.074,2.873,14.721
20150819,MW1044-7,C8,Aminonicotinamide,1,uM,13.469,35.826,0.265,606.123,3.515,215.197,128.5,122,1164,109.169,1.297,170.641,213.233,0.491,375.924,2.399,0.098,2.917,16.402
20140924,MW1007-70,A5,Amoxacillin,1,uM,10.976,20.902,0.205,404.734,3.417,145.652,112.5,92.5,431,77.881,1.28,86.061,132.299,0.488,322.029,1.591,0.062,5.014,6.815
20140924,MW1007-81,A5,Amoxacillin,1,uM,11.28,21.961,0.332,504.232,4.332,253.909,109,104,308,84.558,1.397,95.12,134.804,0.641,389.7,2.14,0.075,4.447,9.662
20140924,MW1007-84,A5,Amoxacillin,1,uM,10.141,19.03,0.426,459.204,5.833,294.793,111.5,97,263.5,87.622,1.184,92.017,191.638,0.278,463.986,1.344,0.041,4.703,9.612
20150819,MW1044-2,A6,Amphetamine,1,uM,12.518,33.111,0.223,642.493,3.202,211.455,131.5,131.5,958.5,116.053,1.656,183.753,225.121,0.589,578.131,2.855,0.11,3.187,20.017
20150819,MW1044-6,A7,Amphetamine,1,uM,15.561,37.126,0.219,675.886,3.801,202.537,131,126,957,119.227,1.734,207.668,160.258,0.765,640.891,2.937,0.138,2.812,18.787
20150819,MW1044-7,A8,Amphetamine,1,uM,19.292,43.961,0.284,593.203,4.532,188.525,136,131,1208,116.37,1.373,158.425,220.693,0.707,482.096,2.725,0.155,3.271,19.879
20150819,MW1044-2,D1,Bis tri n butylin oxide,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150819,MW1044-6,D2,Bis tri n butylin oxide,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150819,MW1044-7,D3,Bis tri n butylin oxide,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141203,MW1042-42,B6,Bis1,1,uM,4.862,9.711,0.274,403.338,3.991,238.053,66,56,136.5,61.678,1.344,76.592,224.015,0.421,181.476,0.857,0.013,8.536,21.545
20141203,MW1042-43,B6,Bis1,1,uM,6.366,14.279,0.298,573.844,4.197,411.961,114.5,93,276.5,102.561,1.667,113.75,397.583,0.625,311.966,1.642,0.035,5.674,11.187
20141203,MW1042-44,B6,Bis1,1,uM,9.036,17.548,0.432,540.592,5.51,245.514,109,92.5,307,94.079,1.722,81.552,649.859,0.941,276.29,1.452,0.039,7.594,19.423
20141112,MW 1041-25,B5,Bisphenol A,1,uM,10.017,22.655,0.257,628.188,3.93,246.074,126,116,536,111.393,1.761,121.97,247.205,0.598,403.081,2.579,0.089,3.765,20.911
20141112,MW 1041-28,B5,Bisphenol A,1,uM,10.498,26.779,0.277,653.206,3.403,221.184,116,111.5,563,110.437,1.677,128.692,282.212,0.552,416.63,2.801,0.093,3.664,19.93
20140827,MW1007-100,B5,Bisphenol A,1,uM,5.059,10.314,0.231,378.01,2.037,226.181,75,53.5,174,67.13,0.919,85.31,270.116,0.172,185.935,1.005,0.012,4.829,15.453
20140827,MW1007-91,B5,Bisphenol A,1,uM,8.332,19.364,0.439,508.943,4.287,318.306,111,103.5,466.5,76.266,1.08,90.977,115.298,0.553,256.55,1.817,0.049,4.833,11.224
20140827,MW1007-98,B5,Bisphenol A,1,uM,7.385,17.735,0.443,408.789,3.44,423.074,102.5,88.5,360,66.701,0.933,87.803,147.609,0.37,212.708,1.349,0.033,6.57,12.086
20141112,MW1041-17,B5,Bisphenol A,1,uM,8.734,16.864,0.277,571.412,3.927,323.913,121,111,238.5,122.647,1.919,100.633,370.476,0.429,544.182,2.397,0.06,3.788,11.321
20141029,MW1036-8,A5,Cadmium,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141029,MW1036-8,B5,Cadmium,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141029,MW1036-8,C5,Cadmium,1,uM,2.182,0.9,0.104,117.392,0.736,192.84,11.5,2,0,0,0,0,0,0,0,-0.003,0,12.269,17.615
20151014,MW1076-42,A6,Caffeine,1,uM,10.954,17.548,0.52,258.444,5.013,241.486,63,41,517,35.708,0.549,66.594,87.183,0.163,136.679,0.597,0.023,5.368,13.354
20151014,MW1076-43,A7,Caffeine,1,uM,14.621,23.121,0.376,315.712,13.935,156.853,77.5,65.5,673.5,59.975,0.672,54.181,666.866,0.295,151.361,0.748,0.027,7.132,17.631
20151014,MW1076-44,A8,Caffeine,1,uM,10.32,16.016,0.402,265.764,3.976,226.44,70.5,53,400,66.197,0.776,53.8,209.885,0.251,230.522,0.908,0.028,10.378,26.328
20151014,MW1076-42,B6,Captopril,1,uM,11.364,22.889,0.363,315.207,4.649,166.192,89,72,552.5,73.742,0.9,68.468,361.945,0.313,225.701,1.052,0.042,7.213,20.901
20151014,MW1076-43,B7,Captopril,1,uM,10.057,19.595,0.331,318.134,3.241,166.812,96,73.5,270,71.367,0.911,56.118,532.541,0.352,280.329,1.038,0.03,6.127,15.863
20151014,MW1076-44,B8,Captopril,1,uM,6.741,11.996,0.116,269.155,1.552,112.131,80.5,61.5,176,78.699,0.935,60.577,663.465,0.222,287.663,1.309,0.036,6.635,21.385
20160601,MW1062-29,C6,Carbamazepine,1,uM,354.411,11.209,0.192,386.987,2.756,232.415,58.5,54.5,216.5,68.336,0.957,101.602,248.571,0.255,262.886,1.168,0.026,3.898,15.456
20160601,MW1062-43,C7,Carbamazepine,1,uM,337.995,10.229,0.19,391.581,2.664,252.971,80,73.5,221,73.998,1.202,106.686,200.846,0.403,304.62,1.435,0.037,6.356,21.42
20160601,MW1062-44,C8,Carbamazepine,1,uM,237.519,9.809,0.206,453.18,2.691,203.747,73,54,353.5,47.458,0.771,111.476,75.156,0.25,162.037,1.137,0.037,3.215,13.412
20150128,MW1007-109,B5,Carbaryl,1,uM,11.869,24.757,0.194,716.311,3.752,229.745,133.5,123.5,403.5,124.31,2.348,144.382,228.382,0.766,684.951,3.376,0.134,3.288,23.378
20150128,MW1008-1,B5,Carbaryl,1,uM,8.587,22.131,0.198,649.396,2.513,274.889,106.5,95.5,457.5,91.886,1.664,175.59,201.832,0.479,418.986,2.031,0.074,5.567,12.69
20150128,MW1008-40,B5,Carbaryl,1,uM,14.297,35.198,0.335,539.523,3.26,175.173,91.5,87.5,669.5,78.2,1.177,177.115,86.031,0.409,445.335,2.148,0.096,4.984,17.399
20150401,MW1053-26,B5,Chloramben,1,uM,8.053,20.448,0.423,512.015,3.837,199.552,102,78.5,331,71.894,1.452,84.958,140.735,0.666,252.348,1.235,0.045,4.93,20.845
20150401,MW1053-31,B5,Chloramben,1,uM,6.004,16.014,0.254,362.212,2.224,177.426,74.5,60.5,360.5,60.987,0.914,89.962,168.816,0.428,150.611,0.939,0.024,6.443,20.167
20150401,MW1053-33,B5,Chloramben,1,uM,13.979,27.825,0.434,583.482,5.895,159.144,128.5,111,454,84.887,1.481,96.982,114.201,0.61,398.807,2.276,0.084,3.953,24.702
20150909,MW1047-22,F6,Chloramben,1,uM,17.095,37.31,0.235,462.56,3.112,96.46,68,47.5,1127.5,49.222,0.923,118.722,149.444,0.369,177.916,0.816,0.081,6.386,20.243
20150909,MW1047-29,F7,Chloramben,1,uM,17.237,47.673,0.71,543.592,7,111.431,97,86,1040,75.165,0.945,145.831,101.146,0.405,241.996,1.652,0.086,5.064,14.952
20150909,MW1047-30,F8,Chloramben,1,uM,16.327,37.404,0.531,457.008,4.736,295.644,109,99.5,1462,69.797,0.839,155.6,31.719,0.513,238.227,1.669,0.094,4.455,22.098
20150819,MW1044-2,E6,Chlordiazepoxide,1,uM,7.958,20.853,0.2,605.04,2.632,333.122,123.5,116,750.5,102.599,1.374,189.506,266.704,0.499,399.974,2.423,0.062,3.837,23.534
20150819,MW1044-6,E7,Chlordiazepoxide,1,uM,12.733,30.424,0.304,560.395,4.294,226.169,133.5,129.5,1345,108.571,1.191,196.48,169.427,0.534,367.056,2.509,0.095,3.553,23.659
20150819,MW1044-7,E8,Chlordiazepoxide,1,uM,8.935,19.418,0.29,501.761,4.378,305.715,123.5,108,844,101.818,1.151,188.392,207.947,0.468,330.052,2.09,0.068,5.032,21.211
20160601,MW1062-29,B6,Chlorpromazine,1,uM,402.964,14.171,0.221,440.729,3.66,298.763,98,82,255.5,88.687,1.107,109.648,199.052,0.324,440.001,1.898,0.048,4.736,20.857
20160601,MW1062-43,B7,Chlorpromazine,1,uM,367.407,15.665,0.165,488.312,2.468,233.893,81.5,74.5,296.5,85.322,1.025,171.722,180.372,0.294,466.464,2.331,0.064,5.403,21.399
20160601,MW1062-44,B8,Chlorpromazine,1,uM,268.326,13.3,0.227,396.125,2.403,205.402,64,56.5,333,68.002,0.939,145.877,219.544,0.275,242.059,1.533,0.047,4.652,17.504
20140924,MW1007-70,B5,Chlorpyrifos,1,uM,8.187,18.025,0.433,529.408,4.758,355.654,110,94,178,81.241,1.59,77.224,207.565,0.276,376.182,1.439,0.037,4.191,9.444
20140924,MW1007-81,B5,Chlorpyrifos,1,uM,9.247,13.274,0.414,419.053,3.948,414.515,106.5,96.5,168.5,93.429,1.233,102.693,271.495,0.284,595.179,2.023,0.049,4.729,9.493
20140924,MW1007-84,B5,Chlorpyrifos,1,uM,8.832,20.204,0.574,513.872,5.663,270.705,109.5,97,160.5,93.706,1.155,109.05,304.314,0.221,620.925,2.15,0.056,5.168,7.396
20140924,MW1007-70,C5,Chlorpyrifos oxon,1,uM,5.971,14.496,0.373,518.775,3.838,335.768,87,71.5,195.5,85.405,1.583,86.446,207.701,0.193,267.951,0.985,0.015,4.609,10.763
20140924,MW1007-81,C5,Chlorpyrifos oxon,1,uM,8.079,16.946,0.468,441.595,3.941,301.888,103,85,219,90.683,1.077,118.986,225.062,0.184,453.227,1.854,0.046,5.356,13.66
20140924,MW1007-84,C5,Chlorpyrifos oxon,1,uM,4.745,10.349,0.273,284.689,2.008,260.367,58.5,44.5,186.5,52.248,0.684,78.266,253.552,0.181,130.043,0.554,0.009,7.664,11.664
20141112,MW 1041-25,C5,Cocaine,1,uM,4.338,12.137,0.158,699.103,2.168,437.19,107.5,102.5,201.5,120.188,1.593,236.642,388.471,0.249,623.045,3.133,0.059,6.78,22.106
20141112,MW 1041-28,C5,Cocaine,1,uM,9.885,18.655,0.204,566.874,3.612,324.007,113.5,102,807,102.445,1.546,155.696,289.566,0.454,484.86,2.532,0.085,4.498,19.001
20141112,MW1041-17,C5,Cocaine,1,uM,4.863,13.413,0.222,657.553,2.791,425.487,106.5,104,195,115.505,1.789,147.661,430.62,0.341,493.904,2.486,0.043,5.668,16.306
20140827,MW1007-100,D5,Cocaine,1,uM,5.336,13.759,0.386,485.43,3.444,322.24,104,86.5,223,99.579,1.275,107.332,216.939,0.206,326.922,1.431,0.021,4.592,11.658
20140827,MW1007-91,D5,Cocaine,1,uM,10.773,19.344,0.202,376.367,2.006,183.027,86,71.5,658,59.796,0.748,134.204,135.665,0.31,175.017,1.316,0.04,6.511,15.416
20140827,MW1007-98,D5,Cocaine,1,uM,7.088,20.357,0.513,440.675,3.644,378.287,96.5,90.5,732,64.167,0.752,130.168,112.139,0.31,166.178,1.461,0.039,5.848,10.664
20150819,MW1044-2,F6,Colchicine,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150819,MW1044-6,F7,Colchicine,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150819,MW1044-7,F8,Colchicine,1,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150401,MW1053-26,C5,Cotinine,1,uM,10.468,24.795,0.409,549.053,4.633,224.648,117,98,406.5,92.114,1.631,87.052,1623.836,0.631,326.042,1.629,0.062,4.14,22.488
20150401,MW1053-31,C5,Cotinine,1,uM,6.744,14.529,0.171,367.143,2.56,192.719,81,65.5,367,68.096,1.107,105.117,154.605,0.421,231.318,1.097,0.035,8.059,15.625
20150401,MW1053-33,C5,Cotinine,1,uM,8.598,19.667,0.35,544.052,3.658,335.765,115,98,296,81.006,1.476,104.794,131.663,0.589,352.119,1.881,0.062,4.551,23.514
20150909,MW1047-22,E6,Cotinine,1,uM,8.662,19.767,0.548,429.254,4.653,343.676,89,81,422.5,67.997,1.131,97.485,128.131,0.656,217.281,1.144,0.043,4.84,18.654
20150909,MW1047-29,E7,Cotinine,1,uM,13.661,30.661,0.539,541.269,6.211,159.03,97.5,84,736,68.784,1.202,114.831,82.491,0.553,199.244,1.625,0.06,3.222,13.843
