"PREFERRED_NAME","EPA_SAMPLE_ID","treatment","filename","primary_dataset","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","TARGET_CONC","TARGET_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","pd_sample_id","gsid","ALIQUOT_VIAL_BARCODE","pd_sample","LOCATION","MW","Supplier","Lot.Number","CoA.Purity.(%)","Determined.Purity.(%)","Culture","chid","stkc","stkc_unit","tested_conc_unit","casn","chnm","dsstox_substance_id","notes","Solvent.used"
"Cadmium chloride","EX000477","Cadmium chloride","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","4","100","mM",100,"mM",100,"uL","-","-","EX000477",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20226,100,"mM","uM","10108-64-2","Cadmium chloride","DTXSID6020226","",NA
"Cadmium(II) chloride hydrate (2:5)","EX000388","Cadmium","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","18","20","mM",20,"mM",100,"uL","-","-","EX000388",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,40183,20,"mM","uM","7790-78-5","Cadmium(II) chloride hydrate (2:5)","DTXSID4040183","","DMSO"
"Caffeine","EX000315","Caffeine","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2","194.19","Sigma-Aldrich","068K0671","99.3","100",NA,20232,20.2000007629395,"mM","uM","58-08-2","Caffeine","DTXSID0020232","",NA
"Caffeine","EX000396","Caffeine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","26","20","mM",20,"mM",100,"uL","-","-","EX000396",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20232,20,"mM","uM","58-08-2","Caffeine","DTXSID0020232","","DMSO"
"Captan","EX000316","Captan","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3","300.59","Sigma-Aldrich","0098X","99.7","98.18",NA,20243,19.8999996185303,"mM","uM","133-06-2","Captan","DTXSID9020243","",NA
"Captan","TP0001649F11","Captan","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F11",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20243,NA,"TP0001649F11","",NA,NA,NA,NA,NA,NA,20243,19.7000007629395,"mM","uM","133-06-2","Captan","DTXSID9020243","",NA
"Captopril","EPAPLT0169G09","22","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,37197,20,"mM","uM","62571-86-2","Captopril","DTXSID1037197","",NA
"Captopril","EX000456","Captopril","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","86","20","mM",20,"mM",100,"uL","-","-","EX000456",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,37197,20,"mM","uM","62571-86-2","Captopril","DTXSID1037197","","DMSO"
"Carbamazepine","EX000470","Carbamazepine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","100","20","mM",20,"mM",100,"uL","-","-","EX000470",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22731,20,"mM","uM","298-46-4","Carbamazepine","DTXSID4022731","","DMSO"
"Carbaryl","EPAPLT0167D01","23","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20247,20,"mM","uM","63-25-2","Carbaryl","DTXSID9020247","",NA
"Carbaryl","EX000318","Carbaryl","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5","201.22","Sigma-Aldrich","03418HJ","~ 99.7","100",NA,20247,19.7999992370605,"mM","uM","63-25-2","Carbaryl","DTXSID9020247","",NA
"Carbaryl","EX000522","Carbaryl","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Frank2017","DNT_EXTRA2","7","100","mM",100,"mM",100,"uL","-","-","EX000522",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20247,100,"mM","uM","63-25-2","Carbaryl","DTXSID9020247","","DMSO"
"Carbofuran","TP0001649E04","Carbofuran","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","E04",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20249,NA,"TP0001649E04","",NA,NA,NA,NA,NA,NA,20249,20,"mM","uM","1563-66-2","Carbofuran","DTXSID9020249","",NA
"Cariporide mesylate","TP0001649G07","Cariporide mesylate","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G07",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,47344,NA,"TP0001649G07","",NA,NA,NA,NA,NA,NA,47344,14.8999996185303,"mM","uM","159138-81-5","Cariporide mesylate","DTXSID3047344","",NA
"Chloramben","EX000460","Chloramben","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","90","20","mM",20,"mM",100,"uL","-","-","EX000460",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20262,20,"mM","uM","133-90-4","Chloramben","DTXSID2020262","","DMSO"
"Chlordane","EX000435","Chlordane","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","65","20","mM",20,"mM",100,"uL","-","-","EX000435",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20267,20,"mM","uM","57-74-9","Chlordane","DTXSID7020267","",NA
"Chlordane","TP0001649C05","Chlordane","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","C05",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20267,NA,"TP0001649C05","",NA,NA,NA,NA,NA,NA,20267,20,"mM","uM","57-74-9","Chlordane","DTXSID7020267","",NA
"Chlordiazepoxide","EX000478","Chlordiazepoxide","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","5","100","mM",100,"mM",100,"uL","-","-","EX000478",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,46022,100,"mM","uM","58-25-3","Chlordiazepoxide","DTXSID4046022","",NA
"Chlordiazepoxide hydrochloride","EX000390","Chlordiazepoxide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","20","20","mM",20,"mM",100,"uL","-","-","EX000390",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,880060,20,"mM","uM","438-41-5","Chlordiazepoxide hydrochloride","DTXSID40880060","","DMSO"
"Chlorendic acid","TP0001649F01","Chlorendic acid","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F01",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20268,NA,"TP0001649F01","",NA,NA,NA,NA,NA,NA,20268,20,"mM","uM","115-28-6","Chlorendic acid","DTXSID2020268","",NA
"Chlorethoxyfos","EX000479","Chlorethoxyfos","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","6","100","mM",100,"mM",100,"uL","-","-","EX000479",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32344,100,"mM","uM","54593-83-8","Chlorethoxyfos","DTXSID2032344","",NA
"Chlorethoxyfos","TT0000177G03","Chlorethoxyfos","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","G03","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,32344,"112921047",NA,"",NA,NA,NA,NA,NA,NA,32344,100,"mM","uM","54593-83-8","Chlorethoxyfos","DTXSID2032344","",NA
"Chlorpheniramine maleate","EPAPLT0167C07","24","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20321,20.0013999938965,"mM","uM","113-92-8","Chlorpheniramine maleate","DTXSID4020321","",NA
"Chlorpromazine","EX000480","Chlorpromazine","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","7","100","mM",100,"mM",100,"uL","-","-","EX000480",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22808,100,"mM","uM","50-53-3","Chlorpromazine","DTXSID0022808","",NA
"Chlorpromazine hydrochloride","EX000469","Chlorpromazine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","99","20","mM",20,"mM",100,"uL","-","-","EX000469",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24827,20,"mM","uM","69-09-0","Chlorpromazine hydrochloride","DTXSID7024827","","Water"
"Chlorpyrifos","EX000319","Chlorpyrifos","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D6","350.59","Toronto Research Chemicals","3-ABY-19-1","98",NA,NA,20458,20,"mM","uM","2921-88-2","Chlorpyrifos","DTXSID4020458","",NA
"Chlorpyrifos","EX000384","Chlorpyrifos","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","14","20","mM",20,"mM",100,"uL","-","-","EX000384",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20458,20,"mM","uM","2921-88-2","Chlorpyrifos","DTXSID4020458","","DMSO"
"Chlorpyrifos","TT0000177E02","Chlorpyrifos","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","E02","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,20458,"112920977",NA,"",NA,NA,NA,NA,NA,NA,20458,100,"mM","uM","2921-88-2","Chlorpyrifos","DTXSID4020458","",NA
"Chlorpyrifos oxon","EX000375","Chlorpyrifos oxon","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","5","20","mM",20,"mM",100,"uL","-","-","EX000375",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38666,20,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","","DMSO"
"Chlorpyrifos oxon","EX000376","Chlorpyrifos oxon","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","6","20","mM",20,"mM",100,"uL","-","-","EX000376",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38666,20,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","","DMSO"
"Chlorpyrifos oxon","EX000377","Chlorpyrifos oxon","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","7","20","mM",20,"mM",100,"uL","-","-","EX000377",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38666,20,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","","DMSO"
"Chlorpyrifos oxon","EX000378","Chlorpyrifos oxon","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","8","20","mM",20,"mM",100,"uL","-","-","EX000378",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38666,20,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","","DMSO"
"Chlorpyrifos oxon","EX000379","Chlorpyrifos oxon","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","9","20","mM",20,"mM",100,"uL","-","-","EX000379",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38666,20,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","","DMSO"
"Chlorpyrifos oxon","TT0000177G02","Chlorpyrifos oxon","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","G02","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,38666,"112921048",NA,"",NA,NA,NA,NA,NA,NA,38666,100,"mM","uM","5598-15-2","Chlorpyrifos oxon","DTXSID1038666","",NA
"Chlorpyrifos-methyl","EPAPLT0167E05","25","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32352,20.0006008148193,"mM","uM","5598-13-0","Chlorpyrifos-methyl","DTXSID6032352","",NA
"Chrysene","EX000320","Chrysene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"9.6999999999999993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7","228.29","Supelco","LC13564V","99.9",NA,20160803,22432,9.69999980926514,"mM","uM","218-01-9","Chrysene","DTXSID0022432","",NA
"Clodinafop-propargyl","TP0001649C01","Clodinafop-propargyl","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","C01",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,32354,NA,"TP0001649C01","",NA,NA,NA,NA,NA,NA,32354,20,"mM","uM","105512-06-9","Clodinafop-propargyl","DTXSID6032354","",NA
"Cloprop","TP0001649D06","Cloprop","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","D06",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,34232,NA,"TP0001649D06","",NA,NA,NA,NA,NA,NA,34232,20,"mM","uM","101-10-0","Cloprop","DTXSID9034232","",NA
"Clothianidin","EPAPLT0167C09","26","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,34465,19.9995002746582,"mM","uM","210880-92-5","Clothianidin","DTXSID2034465","",NA
"Clothianidin","TP0001649F07","Clothianidin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F07",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,34465,NA,"TP0001649F07","",NA,NA,NA,NA,NA,NA,34465,20,"mM","uM","210880-92-5","Clothianidin","DTXSID2034465","",NA
"Clotrimazole","TP0001411E01","1,1,2,2-Tetrahydroperfluoro-1-decanol","EPA_11024_TShafer_384ph2_75ul_13May2015.xlsx","ToxCast2016","TP0001411","E01","20","mM",NA,NA,75,"uL","DMSO",NA,NA,"TX005845",29871,NA,NA,"",NA,NA,NA,NA,NA,NA,29871,20,"mM","uM","23593-75-1","Clotrimazole","DTXSID7029871","Lab Notebook ToxCast Plate ID indicates TP0001411 E01",NA
"Clove leaf oil","TP0001649E02","Clove leaf oil","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","E02",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,44175,NA,"TP0001649E02","",NA,NA,NA,NA,NA,NA,44175,5.21750020980835,"mg/ml","mg/l","8000-34-8","Clove leaf oil","DTXSID8044175","",NA
"Cocaine","EX000382","Cocaine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","12","20","mM",20,"mM",100,"uL","-","-","EX000382",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,38443,20,"mM","uM","50-36-2","Cocaine","DTXSID2038443","","DMSO"
"Colchicine","EX000321","Colchicine","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8","399.44","Sigma-Aldrich","1175235","97","95.9",NA,24845,19.7999992370605,"mM","uM","64-86-8","Colchicine","DTXSID5024845","",NA
"Colchicine","EX000431","Colchicine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","61","20","mM",20,"mM",100,"uL","-","-","EX000431",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24845,20,"mM","uM","64-86-8","Colchicine","DTXSID5024845","","DMSO"
"Cotinine","EX000459","Cotinine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","89","20","mM",20,"mM",100,"uL","-","-","EX000459",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,47576,20,"mM","uM","486-56-6","Cotinine","DTXSID1047576","","DMSO"
"Coumaphos","EX000481","Coumaphos","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","8","100","mM",100,"mM",100,"uL","-","-","EX000481",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20347,100,"mM","uM","56-72-4","Coumaphos","DTXSID2020347","",NA
"Coumaphos","TT0000177A02","Coumaphos","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","A02","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,20347,"112921025",NA,"",NA,NA,NA,NA,NA,NA,20347,100,"mM","uM","56-72-4","Coumaphos","DTXSID2020347","",NA
"Cyclopamine","EX000430","Cyclopamine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","60","20","mM",20,"mM",100,"uL","-","-","EX000430",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,43709,20,"mM","uM","4449-51-8","Cyclopamine","DTXSID6043709","",NA
"Cyclophosphamide monohydrate","EX000472","Cyclophosphamide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","102","20","mM",20,"mM",100,"uL","-","-","EX000472",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24888,20,"mM","uM","6055-19-2","Cyclophosphamide monohydrate","DTXSID6024888","","Water"
"Cyfluthrin","EPAPLT0167F10","27","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,35957,20.0002002716064,"mM","uM","68359-37-5","Cyfluthrin","DTXSID5035957","",NA
"Cyfluthrin","TP0001649F02","Cyfluthrin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F02",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,35957,NA,"TP0001649F02","",NA,NA,NA,NA,NA,NA,35957,20,"mM","uM","68359-37-5","Cyfluthrin","DTXSID5035957","",NA
"Cymoxanil","EPAPLT0167D07","28","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32358,20.0235004425049,"mM","uM","57966-95-7","Cymoxanil","DTXSID6032358","",NA
"Cymoxanil","TP0001649H09","Cymoxanil","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","H09",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,32358,NA,"TP0001649H09","",NA,NA,NA,NA,NA,NA,32358,20,"mM","uM","57966-95-7","Cymoxanil","DTXSID6032358","",NA
"Cypermethrin","EPAPLT0167G05","29","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23998,20.0013999938965,"mM","uM","52315-07-8","Cypermethrin","DTXSID1023998","",NA
"Cypermethrin","EX000523","Cypermethrin","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Frank2017","DNT_EXTRA2","8","100","mM",100,"mM",100,"uL","-","-","EX000523",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23998,100,"mM","uM","52315-07-8","Cypermethrin","DTXSID1023998","","DMSO"
"Cytarabine","EX000413","Cytosine Arabinoside","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","43","20","mM",20,"mM",100,"uL","-","-","EX000413",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22877,20,"mM","uM","147-94-4","Cytarabine","DTXSID3022877","","DMSO"
"Cytarabine hydrochloride","EPAPLT0167E09","31","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24891,20,"mM","uM","69-74-9","Cytarabine hydrochloride","DTXSID5024891","",NA
"D-Glucitol","EPAPLT0169A05","34","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23588,19.2672996520996,"mM","uM","50-70-4","D-Glucitol","DTXSID5023588","",NA
"D-Glucitol","EX000322","D-Glucitol","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9","182.17","Sigma-Aldrich","1409745","99.7",NA,20160907,23588,20.2000007629395,"mM","uM","50-70-4","D-Glucitol","DTXSID5023588","",NA
"D-Glucitol","EX000400","Sorbitol","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","30","20","mM",20,"mM",100,"uL","-","-","EX000400",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23588,20,"mM","uM","50-70-4","D-Glucitol","DTXSID5023588","","DMSO"
"D-Mannitol","EPAPLT0167F06","39","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23235,20,"mM","uM","69-65-8","D-Mannitol","DTXSID1023235","",NA
"D-Mannitol","TP0001649B08","D-Mannitol","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","B08",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,23235,NA,"TP0001649B08","",NA,NA,NA,NA,NA,NA,23235,20,"mM","uM","69-65-8","D-Mannitol","DTXSID1023235","",NA
"DDT","EX000328","Dichlorodiphenyltrichloroethane","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","354.49","Sigma-Aldrich","02230KY","99.3","98.76",20160817,20375,20.1000003814697,"mM","uM","50-29-3","DDT","DTXSID4020375","",NA
"Deltamethrin","EX000323","Deltamethrin","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D10,H4","505.24","Chem Service, Inc.","418-66B","99.5",NA,NA,20381,20.8500003814697,"mM","uM","52918-63-5","Deltamethrin","DTXSID8020381","",NA
"Deltamethrin","EX000423","Deltamethrin","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","53","20","mM",20,"mM",100,"uL","-","-","EX000423",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20381,20,"mM","uM","52918-63-5","Deltamethrin","DTXSID8020381","","DMSO"
"Dexamethasone","EPAPLT0169F08","33","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20384,19.9992008209229,"mM","uM","50-02-2","Dexamethasone","DTXSID3020384","",NA
"Dexamethasone","EX000394","Dexamethasone","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","24","20","mM",20,"mM",100,"uL","-","-","EX000394",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20384,20,"mM","uM","50-02-2","Dexamethasone","DTXSID3020384","","DMSO"
"Dexamethasone","EX000395","Dexamethasone","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","25","20","mM",20,"mM",100,"uL","-","-","EX000395",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20384,20,"mM","uM","50-02-2","Dexamethasone","DTXSID3020384","","DMSO"
"Dextroamphetamine sulfate","EX000402","Amphetamine","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","32","20","mM",20,"mM",100,"uL","-","-","EX000402",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,57865,20,"mM","uM","51-63-8","Dextroamphetamine sulfate","DTXSID2057865","","Water"
"Di(2-ethylhexyl) phthalate","EX000324","Di(2-ethylhexyl) phthalate","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D11","390.56","NTP","H810626","Unknown","99.25",NA,20607,20,"mM","uM","117-81-7","Di(2-ethylhexyl) phthalate","DTXSID5020607","",NA
"Di(2-ethylhexyl) phthalate","EX000422","Bis (2-ethylhexyl) phthalate (DEHP)","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","52","20","mM",20,"mM",100,"uL","-","-","EX000422",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20607,20,"mM","uM","117-81-7","Di(2-ethylhexyl) phthalate","DTXSID5020607","","DMSO"
"Diazepam","EX000325","Diazepam","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D12","284.74","Spectrum Chemical Mfg. Corp.","XD1115","99.3",NA,NA,20406,20.2999992370605,"mM","uM","439-14-5","Diazepam","DTXSID4020406","",NA
"Diazepam","EX000409","Diazepam","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","39","20","mM",20,"mM",100,"uL","-","-","EX000409",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20406,20,"mM","uM","439-14-5","Diazepam","DTXSID4020406","","DMSO"
"Diazinon","EPAPLT0170D06","35","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20407,20,"mM","uM","333-41-5","Diazinon","DTXSID9020407","",NA
"Diazinon","EX000482","Diazinon","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","9","100","mM",100,"mM",100,"uL","-","-","EX000482",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20407,100,"mM","uM","333-41-5","Diazinon","DTXSID9020407","",NA
"Diazinon","TT0000177H01","Diazinon","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","H01","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,20407,"112921038",NA,"",NA,NA,NA,NA,NA,NA,20407,100,"mM","uM","333-41-5","Diazinon","DTXSID9020407","",NA
